latitude,longitude,band,relief_m,elevation_std_m,slope_mean,slope_std,slope_p90,slope_p99,slope_max,unstable_fraction,excess_total_m,excess_max_m,toppled_fraction,mass_moved_m,max_change_m,initial_excess_m,residual_excess_m,excess_relieved_fraction,residual_unstable_fraction,iterations,converged,grid_spacing_y_m,grid_spacing_x_m,nodata_fraction,hemisphere
26.63684539668393,-179.3515625,20,319.0,67.18509753985849,0.09684794754947343,0.05775341859353612,0.17477879265567386,0.2745385217378771,0.38808859458512973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,True,59.225293799972235,52.93948298066018,0.0,farside
-28.21697271744572,-179.318359375,8,857.5,247.93628699986843,0.12968586084733608,0.08015176533945469,0.23752035133141064,0.30877338730860643,0.4443898385655953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,True,59.225293799972235,52.1871630139244,0.0,farside
12.379652013084048,-178.93359375,16,1434.0,343.5675104267064,0.17290622350230717,0.08722313942160911,0.29285277835824675,0.4025881375536353,0.6163890536299118,0.0006103515625,11.958955455984551,3.121579621332046,0.0008544921875,9.150093445374296,1.9323694319950846,11.958955455984551,3.237914825149346e-09,0.9999999997292477,0.00054931640625,259,True,59.22529380002046,57.84821556094966,0.0,farside
40.00950383082666,-177.173828125,24,619.0,91.67922496706913,0.10553354212243879,0.09581951589817447,0.23158600637624077,0.43836895941184256,0.5763940355435999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,True,59.225293800165126,45.36289191073173,0.0,farside
-28.260032363701665,-177.12109375,7,1384.0,273.77898656017555,0.18161015265118324,0.07293312670345209,0.2733920671515818,0.35025125136599133,0.4458145659775532,0.0,0.9001582529323677,0.9001582529323677,6.103515625e-05,0.4500791261048107,0.4500791261048107,0.9001582529323677,7.227463072467799e-10,0.9999999991970897,0.0,41,True,59.22529380006868,52.16610354777753,0.0,farside
-17.326249227274616,-176.802734375,10,370.0,36.23233546499181,0.049196220716258926,0.03981614105751181,0.10333063565668574,0.18636961655737275,0.397405405787772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,True,59.225293799972235,56.53791419138726,0.0,farside
-16.271460111541803,-176.20703125,11,1380.0,331.67235287269983,0.17319264213868146,0.07741124881608831,0.2730382358085833,0.3744302289131403,0.5472429798212,0.0,5.414422134183418,3.6958055522557984,0.000244140625,2.7072110666226763,1.8479027758075972,5.414422134183418,9.380656251778419e-10,0.9999999998267468,0.0,44,True,59.225293799972235,56.85302330631578,0.0,farside
-28.21697271744572,-175.509765625,8,542.0,126.70460942474313,0.0969083515470549,0.0543277130108735,0.17294878353474155,0.23962581450691486,0.3688888093560216,0.0,1.3880069409656244,1.3880069409656244,6.103515625e-05,0.6940034701488003,0.6940034701488003,1.3880069409656244,6.680238584522158e-10,0.9999999995187172,0.0,42,True,59.225293799972235,52.1871630139244,0.0,farside
18.160694467641463,-174.794921875,19,1549.0,347.80359111729103,0.2632462088930066,0.159793709202679,0.497512640627232,0.5966139363641962,0.7389097167120744,0.018310546875,862.3208506597628,17.029295843501444,0.02032470703125,534.7777380752045,13.858591687000171,862.3208506597628,8.658631145408435e-09,0.9999999999899589,0.01849365234375,1774,True,59.22529380006868,56.27505053119334,0.0,farside
-17.326249227274616,-174.638671875,10,1046.0,200.16677453168282,0.19193134435797593,0.10866127193205322,0.3203493100901193,0.5248218742382983,0.7320162562649746,0.0010986328125,110.48502548185705,29.704628988985576,0.00146484375,48.63074393356328,9.902642200826904,110.48502548185705,1.8542465340942726e-09,0.9999999999832172,0.0008544921875,102,True,59.225293799972235,56.53791419138726,0.0,farside
31.74338426056943,-173.853515625,21,1080.5,292.0078845686517,0.1679061886113385,0.07212661839662557,0.26054577618668173,0.34094502869424487,0.5375534526010725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,True,59.225293799972235,50.36595855401552,0.0,farside
18.160694467641463,-171.4765625,19,2045.0,461.2272559287749,0.23573629676798774,0.12423539205159359,0.3932907608539746,0.48246965258573726,0.6072942618011011,0.00048828125,20.953361571825923,5.327005477360373,0.0008544921875,11.14018352290077,2.6635027386796537,20.953361571825923,3.3838460922197555e-09,0.9999999998385058,0.0003662109375,95,True,59.22529380006868,56.27505053119334,0.0,farside
-8.485307680663237,-171.1953125,13,183.0,17.80529702261818,0.0772157424575178,0.07910429444384863,0.16915840202795737,0.4044068302982897,0.5533302039820882,0.0,0.7010721820555474,0.7010721820555474,6.103515625e-05,0.350536090559217,0.350536090559217,0.7010721820555474,9.371134979119233e-10,0.9999999986633138,0.0,40,True,59.22529380002046,58.576997951376875,0.0,farside
-50.18634058551348,-170.689453125,1,1394.0,329.4932635395553,0.24042210744461387,0.11259572741750752,0.38690137271673697,0.49749393453342133,0.714108105340526,0.0015869140625,577.4070815441072,15.61927623742623,0.00885009765625,279.28745188582616,7.809638118226758,577.4070815441072,3.3327630433177546e-08,0.9999999999422805,0.0001220703125,46,True,59.225293799972235,37.921531650907745,0.0,farside
-8.485307680663237,-170.166015625,13,2458.5,543.7950520425758,0.34850838001073997,0.15181544891459858,0.5292769296500408,0.5952538169913902,0.7571660527778534,0.01953125,820.7981079864953,20.528077659443746,0.017822265625,415.7674426907479,9.367738848721274,820.7981079864953,3.7365381899689964e-09,0.9999999999954476,0.01824951171875,277,True,59.22529380002046,58.576997951376875,0.0,farside
31.84621225618417,-168.783203125,22,1689.0,406.2434360178433,0.2164093846562387,0.08883417412904865,0.329843155889406,0.4578594241596128,0.5903303113223732,0.00018310546875,43.80794816071297,18.827005477416023,0.00054931640625,21.90397407953742,9.413502738355874,43.80794816071297,1.6381278555854806e-09,0.9999999999626066,0.0001220703125,47,True,59.225293799972235,50.30995617317594,0.0,farside
